file	status	objective_name	objective_value
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0@0.txt	sat	lam1n3	-42670427
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0@1.txt	sat	main_x	-1
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0@2.txt	sat	lam8n2	-66720436
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0@3.txt	sat	lam10n0	-93357777
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0@4.txt	sat	undef4	-141
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0@0.txt	sat	lam0n2	-3752
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0@1.txt	sat	lam8n1	0
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0@2.txt	sat	lam7n0	0
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0@3.txt	sat	lam2n1	0
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0@4.txt	sat	lam5n0	-102303905
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0@0.txt	sat	lam2n3	0
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0@1.txt	sat	main_y	-1
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0@2.txt	sat	lam7n2	-14204284
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0@3.txt	no_model		
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20190_terminationG_0@4.txt	sat	Nl2main_x1	-1
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20203_terminationG_0@0.txt	no_model		
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20203_terminationG_0@1.txt	sat	RFN1_main_b	-96360214
benchmarks/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20203_terminationG_0@2.txt	sat	Nl2main_q2	-4
